X,Y
841,1569
840,1569
840,1568
839,1568
839,1567
837,1567
837,1566
836,1566
836,1565
835,1565
835,1564
833,1564
833,1563
832,1563
832,1561
830,1561
830,1560
828,1560
828,1559
827,1559
827,1558
825,1558
825,1557
824,1557
824,1556
821,1556
821,1555
820,1555
820,1554
819,1554
819,1553
816,1553
816,1552
814,1552
814,1551
812,1551
812,1550
810,1550
810,1549
808,1549
808,1548
806,1548
806,1549
807,1549
807,1550
808,1550
808,1553
807,1553
807,1552
806,1552
806,1551
805,1551
805,1550
804,1550
804,1548
803,1548
803,1547
802,1547
802,1546
801,1546
801,1545
800,1545
800,1544
799,1544
799,1543
798,1543
798,1542
797,1542
797,1541
796,1541
796,1540
795,1540
795,1538
794,1538
794,1536
793,1536
793,1533
792,1533
792,1528
791,1528
791,1526
790,1526
790,1525
789,1525
789,1528
788,1528
788,1529
786,1529
786,1530
783,1530
783,1529
782,1529
782,1528
781,1528
781,1526
780,1526
780,1525
779,1525
779,1523
778,1523
778,1521
777,1521
777,1520
775,1520
775,1519
774,1519
774,1518
775,1518
775,1515
773,1515
773,1514
770,1514
770,1512
771,1512
771,1511
772,1511
772,1510
773,1510
773,1509
769,1509
769,1508
768,1508
768,1507
776,1507
776,1509
778,1509
778,1510
781,1510
781,1506
782,1506
782,1501
783,1501
783,1499
784,1499
784,1498
785,1498
785,1496
784,1496
784,1492
782,1492
782,1491
784,1491
784,1490
786,1490
786,1489
787,1489
787,1488
788,1488
788,1485
789,1485
789,1484
786,1484
786,1483
785,1483
785,1482
784,1482
784,1480
782,1480
782,1479
781,1479
781,1476
780,1476
780,1475
779,1475
779,1472
778,1472
778,1470
777,1470
777,1468
778,1468
778,1466
776,1466
776,1465
775,1465
775,1463
774,1463
774,1454
773,1454
773,1453
772,1453
772,1452
770,1452
770,1449
771,1449
771,1448
772,1448
772,1447
771,1447
771,1445
770,1445
770,1442
769,1442
769,1439
768,1439
768,1434
769,1434
769,1438
770,1438
770,1441
771,1441
771,1443
772,1443
772,1444
773,1444
773,1446
774,1446
774,1447
776,1447
776,1441
777,1441
777,1439
778,1439
778,1433
779,1433
779,1431
778,1431
778,1425
779,1425
779,1424
780,1424
780,1421
781,1421
781,1417
782,1417
782,1410
783,1410
783,1408
784,1408
784,1404
785,1404
785,1401
786,1401
786,1400
787,1400
787,1399
788,1399
788,1398
789,1398
789,1396
790,1396
790,1395
791,1395
791,1393
792,1393
792,1392
793,1392
793,1390
794,1390
794,1384
795,1384
795,1383
796,1383
796,1379
797,1379
797,1374
798,1374
798,1373
799,1373
799,1371
800,1371
800,1369
801,1369
801,1368
802,1368
802,1365
803,1365
803,1362
804,1362
804,1361
805,1361
805,1359
806,1359
806,1357
807,1357
807,1355
808,1355
808,1353
809,1353
809,1352
810,1352
810,1351
811,1351
811,1350
812,1350
812,1349
813,1349
813,1347
814,1347
814,1344
815,1344
815,1341
816,1341
816,1338
817,1338
817,1336
818,1336
818,1334
819,1334
819,1332
820,1332
820,1330
822,1330
822,1329
824,1329
824,1323
825,1323
825,1321
827,1321
827,1320
828,1320
828,1318
829,1318
829,1317
830,1317
830,1316
831,1316
831,1315
832,1315
832,1314
834,1314
834,1313
835,1313
835,1312
830,1312
830,1311
828,1311
828,1310
827,1310
827,1309
826,1309
826,1308
825,1308
825,1307
824,1307
824,1305
822,1305
822,1304
818,1304
818,1303
817,1303
817,1299
813,1299
813,1300
810,1300
810,1301
806,1301
806,1300
804,1300
804,1299
802,1299
802,1298
800,1298
800,1297
797,1297
797,1296
794,1296
794,1295
792,1295
792,1294
791,1294
791,1293
790,1293
790,1291
792,1291
792,1290
796,1290
796,1289
798,1289
798,1288
801,1288
801,1287
802,1287
802,1286
803,1286
803,1285
804,1285
804,1286
807,1286
807,1284
806,1284
806,1282
805,1282
805,1279
803,1279
803,1281
804,1281
804,1283
803,1283
803,1284
802,1284
802,1285
801,1285
801,1284
799,1284
799,1283
798,1283
798,1281
797,1281
797,1279
796,1279
796,1278
795,1278
795,1277
794,1277
794,1276
793,1276
793,1275
791,1275
791,1274
790,1274
790,1273
789,1273
789,1272
788,1272
788,1271
786,1271
786,1270
782,1270
782,1275
774,1275
774,1276
770,1276
770,1277
769,1277
769,1278
765,1278
765,1281
764,1281
764,1282
763,1282
763,1283
761,1283
761,1284
757,1284
757,1285
755,1285
755,1284
752,1284
752,1283
749,1283
749,1282
744,1282
744,1281
741,1281
741,1280
738,1280
738,1279
732,1279
732,1278
729,1278
729,1279
717,1279
717,1278
714,1278
714,1279
704,1279
704,1278
699,1278
699,1277
697,1277
697,1276
695,1276
695,1275
689,1275
689,1274
677,1274
677,1273
669,1273
669,1272
663,1272
663,1271
658,1271
658,1270
653,1270
653,1269
651,1269
651,1268
646,1268
646,1267
644,1267
644,1266
